question_number,is_correct,Options,sub
149,0, Cash Withdrawal from Bank,Tally
149,0, Transfer from Bank to Bank,Tally
149,1, Credit Sale,Tally
150,0, Balance Sheet,Tally
150,0, Profit & Loss Account,Tally
150,1, Database Management,Tally
150,0, Inventory Management,Tally
151,0, Changes company data,Tally
151,1, Changes Tally configuration settings,Tally
151,0, Creates a new ledger,Tally
151,0, Opens accounting reports,Tally
152,1, Alt + F2,Tally
152,0, Ctrl + D,Tally
152,0, Alt + D,Tally
152,0, Ctrl + F2,Tally
153,0, Receipt Voucher,Tally
153,0, Contra Voucher,Tally
153,0, Journal Voucher,Tally
153,1, Payment Voucher,Tally
154,0, Accounts Books,Tally
154,1,Inventory Books,Tally
154,0, Statutory Books,Tally
154,0,Display,Tally
155,1, Company Info > Alter,Tally
155,0,Company Info > Alter Company,Tally
155,0, Gateway of Tally > Modify Company,Tally
155,0,None of these,Tally
156,1, Cash Account,Tally
156,0, Capital Account,Tally
156,0, Sales Account,Tally
156,0, Interest Account,Tally
157,0, Cash Account,Tally
157,0, Bank Account,Tally
157,1, Sundry Creditors,Tally
157,0, Sundry Debtors,Tally
158,0, Inventory Management,Tally
158,0, Payroll Management,Tally
158,1, Web Designing,Tally
158,0, Statutory Compliance,Tally
159,0, Shift + Del,Tally
159,1, Alt + D,Tally
159,0, Ctrl + D,Tally
159,0, alter,Tally
160,0, Symbol,Tally
160,1,Primary,Tally
160,0,Stock,Tally
160,0,Main Location,Tally
161,0, Customer Relations,Tally
161,1, Inventory Levels,Tally
161,0, Employee Scheduling,Tally
161,0, Project Management,Tally
162,1,F7,Tally
162,0,F5,Tally
162,0,F8,Tally
162,0,F9,Tally
163,0, .xls,Tally
163,0, .doc,Tally
163,0, .tally,Tally
163,1, .tsf,Tally
164,0,Alt +F1,Tally
164,0,Alt +F9,Tally
164,0,Alt +F2,Tally
164,1,Alt +F3,Tally
165,0, Voucher Entry,Tally
165,0, Invoice Customization,Tally
165,1, Print Configuration,Tally
165,0, Payment Gateway,Tally
166,0, Complex navigation,Tally
166,0, Graphical interface,Tally
166,0, Extensive help and documentation,Tally
166,1, Both B and C,Tally
167,0, To track user purchases,Tally
167,1, To define user roles and permissions,Tally
167,0, To monitor employee performance,Tally
167,0, To create user profiles for marketing,Tally
168,0,Account Books,Tally
168,0,Cash and fund flow,Tally
168,0,Inventory Books ,Tally
168,1,Statement Of Account ,Tally
169,0,Receipt Vaucher,Tally
169,0,Contra Vaucher ,Tally
169,0,Payment vaucher ,Tally
169,1, All of the above ,Tally
170,0,Debit Note,Tally
170,0,Receipt Note,Tally
170,1,Rejection Out,Tally
170,0, Rejection In,Tally
