Question Number,is _correct ,ID,Option,Sub
195,0,794,Coraldwr,Coreldraw
195,0,795,Careldrw,Coreldraw
196,0,796,Text Tool,Coreldraw
196,0,797,Shape Tool,Coreldraw
196,0,798,Pick Tool,Coreldraw
196,1,799,Move Tool,Coreldraw
197,0,800,Ctrl + W,Coreldraw
197,0,801,Ctrl + C,Coreldraw
197,0,802,Alt + F2,Coreldraw
197,1,803,Alt + F4,Coreldraw
198,0,804,T,Coreldraw
198,0,805,A,Coreldraw
198,1,806,I,Coreldraw
198,0,807,R,Coreldraw
199,1,808,Reapply the last undone action,Coreldraw
199,0,809,Insert New Page,Coreldraw
199,0,810,None of These,Coreldraw
199,0,811,Cancel the Previous action,Coreldraw
200,0,812,TRUE,Coreldraw
200,1,813,FALSE,Coreldraw
200,0,814,None of these,Coreldraw
200,0,815,_,Coreldraw
201,0,816,D,Coreldraw
201,0,817,T,Coreldraw
201,0,818,W,Coreldraw
201,1,819,M,Coreldraw
202,0,820,RGB,Coreldraw
202,1,821,LZW,Coreldraw
202,0,822,HSV,Coreldraw
202,0,823,CMYK,Coreldraw
203,0,824,Use the  Ellipse Tool While Holding Down the Alt Key ,Coreldraw
203,1,825,Use the  Ellipse Tool While Holding Down the Shift Key ,Coreldraw
203,0,826,Use the  Ellipse Tool While Holding Down the Ctrl Key ,Coreldraw
203,0,827,Use the  Ellipse Tool While Holding Down the Spacebar,Coreldraw
204,0,828,Shape Tool ,Coreldraw
204,1,829,Power Clip ,Coreldraw
204,0,830,Crop Tool ,Coreldraw
204,0,831,Freehand Tool ,Coreldraw
205,1,832,Ctrl + G,Coreldraw
205,0,833, Ctrl + U,Coreldraw
205,0,834,Ctrl + C,Coreldraw
205,0,835, Ctrl + D,Coreldraw
206,0,836,File,Coreldraw
206,1,837,Arrange,Coreldraw
206,0,838,Tools,Coreldraw
206,0,839,View,Coreldraw
207,0,840,Opens a file,Coreldraw
207,1,841,Zoom in (by dragging an area),Coreldraw
207,0,842,Group objects,Coreldraw
207,0,843, Select text,Coreldraw
208,0,844,Weld,Coreldraw
208,1,845, Order,Coreldraw
208,0,846,Align,Coreldraw
208,0,847, Combine,Coreldraw
209,0,848,To group objects,Coreldraw
209,1,849,To convert text or shapes into editable curves,Coreldraw
209,0,850,To change color,Coreldraw
209,0,851, To zoom object,Coreldraw
210,0,852,File,Coreldraw
210,0,853, Edit,Coreldraw
210,1,854, View,Coreldraw
210,0,855, Layout,Coreldraw
211,1,856,Break Curve Apart,Coreldraw
211,0,857, Ungroup,Coreldraw
211,0,858, Separate,Coreldraw
211,0,859,Divide,Coreldraw
212,1,860,Interactive Fill Tool,Coreldraw
212,0,861, Eyedropper Tool,Coreldraw
212,0,862,Outline Tool,Coreldraw
212,0,863, Transparency Tool,Coreldraw
213,0,864,F6,Coreldraw
213,1,865, F11,Coreldraw
213,0,866,Ctrl + P,Coreldraw
213,0,867, Ctrl + C,Coreldraw
214,1,868,RGB and CMYK,Coreldraw
214,0,869, HSL and HSV,Coreldraw
214,0,870, Pantone and CMY,Coreldraw
214,0,871, XYZ and YUV,Coreldraw
215,0,872,At the top,Coreldraw
215,0,873, At the bottom,Coreldraw
215,0,874, At the left,Coreldraw
215,1,875,At the right,Coreldraw
216,0,876,White,Coreldraw
216,0,877, Transparent,Coreldraw
216,1,878,X icon in the color palette,Coreldraw
216,0,879, Eraser tool,Coreldraw
217,1,880,.cdr,Coreldraw
217,0,881,.cdrw,Coreldraw
217,0,882, .cdw,Coreldraw
217,0,883,.corel,Coreldraw
218,0,884,.jpg,Coreldraw
218,1,885,.docx,Coreldraw
218,0,886, .png,Coreldraw
218,0,887, .svg,Coreldraw
219,0,888,Page Background,Coreldraw
219,1,889, Page Setup,Coreldraw
219,0,890, Orientation Tool,Coreldraw
219,0,891,Page Numbering,Coreldraw
220,0,892,File,Coreldraw
220,1,893,Layout,Coreldraw
220,0,894,Tools,Coreldraw
220,0,895,Window,Coreldraw
